group_value,proportion,group_type,season
male,0.6153846153846154,Inferred_Gender,all
female,0.38461538461538464,Inferred_Gender,all
white,0.7307692307692307,ethnicity_group,all
person_of_color,0.2692307692307692,ethnicity_group,all
male,0.6,Inferred_Gender,1
female,0.4,Inferred_Gender,1
white,1.0,ethnicity_group,1
male,0.6,Inferred_Gender,2
female,0.4,Inferred_Gender,2
white,0.8,ethnicity_group,2
person_of_color,0.2,ethnicity_group,2
female,0.6,Inferred_Gender,3
male,0.4,Inferred_Gender,3
white,0.8,ethnicity_group,3
person_of_color,0.2,ethnicity_group,3
male,0.6666666666666666,Inferred_Gender,4
female,0.3333333333333333,Inferred_Gender,4
white,0.6666666666666666,ethnicity_group,4
person_of_color,0.3333333333333333,ethnicity_group,4
male,0.8,Inferred_Gender,C1
female,0.2,Inferred_Gender,C1
person_of_color,0.6,ethnicity_group,C1
white,0.4,ethnicity_group,C1
